"100 Moffett Blvd, Mountain View, CA 94043",2013-5,"In December 2011, Council authorized a Gatekeeper request by
Prometheus to study rezoning of 2.9 acres for 190 apartments. A
Council hearing is scheduled in June 2013 to discuss circulation, and
a final hearing anticipated in the latter half of 2013."
"100 Moffett Blvd, Mountain View, CA 94043",2013-6,"In December 2011, Council authorized a Ga tekeeper request by
Prometheus to study rezoning of 2.9 acres for 190 apartme nts. A
Council hearing is scheduled in June 2013 to discuss circulation, and
a final hearing anticipated in the latter half of 2013."
"100 Moffett Blvd, Mountain View, CA 94043",2013-7,"In December 2011, Council authorized a Gatekeeper request by
Prometheus to study rezoning of 2.9 acres for 190 apartments. In June
2013, Council directed the project design to include a dedicated
right-turn lane on Moffett Boulevard at Central Expressway and to
close the vehicular ramp from Stierlin Road to Central Expressway.
Additional review by B/PAC and EPC will be scheduled before a final
Council hearing at the end of 2013."
"100 Moffett Blvd, Mountain View, CA 94043",2013-8,"In December 2011, Council authorized a Gatekeeper request by
Prometheus to study rezoning of 2.9 acres for 190 apartments. In June
2013, Council directed the project design to include a dedicated
right-turn lane on Moffett Boulevard at Central Expressway and to
close the vehicular ramp from Stierlin Road to Central Expressway.
Additional review by B/PAC and EPC will be schedu led before a final
Council hearing at the end of 2013. (Monta Loma/Farley/Rock Planning
Area)"
"100 Moffett Blvd, Mountain View, CA 94043",2013-9,"In December 2011, Council authorized a Gatekeeper request by
Prometheus to study rezoning of 2.9 acres for 190 apartments. In June
2013, Council directed the project design to include a dedicated
right- turn lane on Moffett Boulevard at Central Expressway and to
close the vehicular ramp from Stierlin Road to Central Expressway.
B/PAC will review circulation and right- of-way issues on September 26
and an EPC public hearing is scheduled for November 6 with a final
Council hearing o n December 3."
"100 Moffett Blvd, Mountain View, CA 94043",2013-10,"In December 2011, Council authorized a Gatekeeper request by
Prometheus to study rezoning of 2.9 acres for 190 apartments. In June
2013, Council directed the project design to include a dedicated
right-turn lane on Moffett Boulevard at Central Expressway and to
close the vehicular ramp from Stierlin Road to Central Expressway.
B/PAC review ed circulation and right-of-way issues on September 26
and an EPC public hearing is scheduled for November 6 with a final
Council hearing on December 3. (Monta Loma/Farley/Rock Planning Area)"
"100 Moffett Blvd, Mountain View, CA 94043",2013-11,"In December 2011, Council authorized a Gatekeeper request by
Prometheus to study rezoning of 2.9 acres for 190 apartments. In June
2013, Council directed the project design to include a dedicated
right-turn lane on Moffett Boulevard at Central Expressway and to
close the vehicular ramp from Stierlin Road to Central Expressway.
B/PAC review ed circulation and right-of-way issues on September 26
and an EPC public hearing is scheduled for November 6 with a final
Council hearing on December 3. (Monta Loma/F arley/Rock Planning Area)"
"100 Moffett Blvd, Mountain View, CA 94043",2013-12,"In December 2011, Council authorized a Gatekeeper request by
Prometheus to study rezoning of 2.9 acres for high density apartments.
In June 2013, Council directed the project design to include a
dedicated right-turn lane on Moffett Boulev ard at Central Expressway
and to close the vehicular ramp from Stierlin Road to Central
Expressway. A final Council hearing for the 184 unit project is
scheduled o n December 3. (Monta Loma/Farley/Rock Planning Area)"
"100 Moffett Blvd, Mountain View, CA 94043",2014-1,"In December 2013, Council approved a 184 unit apartment project for
Prometheus. Demolition is expected in February 2014 and project
completion in January 2016. (Monta Loma/Farley/Rock Planning Area)"
"100 Moffett Blvd, Mountain View, CA 94043",2014-2,"In December 2013, Council approved a 184 unit apartment project for
Prometheus. Demolition is expected in February 2014 and project
completion in January 2016. (Monta Loma/Farley/Rock Planni ng Area)"
"100 Moffett Blvd, Mountain View, CA 94043",2014-3,"In December 2013, Council approved a 184 unit apartment project for
Prometheus. Demolition is anticipated in April 2014 and project
completion in January 2016. (Monta Loma/Farley/Rock Planning Area)"
"100 Moffett Blvd, Mountain View, CA 94043",2014-4,"In December 2013, Council approved a 184 unit apartment project for
Prometheus. Demolition is anticipated in spring/summer 2014 and
project completion in January 2016."
"100 Moffett Blvd, Mountain View, CA 94043",2014-6,"In December 2013, the City Council approved a request by Prometheus
Real Estate Group for a project including 184-unit apartment project,
replacing commercial and office buildings on an existing approximately
2.68 acre site. The project includes the conversion of an existing
vehicle on-ramp to a bicycle/pedestrian-only paseo connecting Stierlin
Road to the corner of Central Expressway and Moffett Boulevard.
Status/Next Step(s): Approved. Demolition of existing onsite
improvements is anticipated by summer 2014, and construction is
expected to be completed by January 2016. Planning Area: Monta
Loma/Farley/Rock Project Planner: Rebecca Shapiro"
"100 Moffett Blvd, Mountain View, CA 94043",2014-8,"In December 2013, the City Council approved a request by Prometheus
Real E state Group for a 184-unit apartment project. The project
includes three residential buildings that replac e existing commercial
and office buildings on an approximately 2.68 acre site. The project
includes the conversion of an existing vehicle on-ramp to a
bicycle/pedestrian-only paseo co nnecting Stierlin Road to the corner
of Central Expressway and Moffett Boulevard. Status/Next Step(s):
Approved. Demolition of existing buildings and site improvements began
in July 2014, and construction is expected to be completed by January
2016. In July 2014, the Zoning Administrator approved a reduced
development alternative. The reduced development alternative includes
the design of a smaller “Building A ”, and will only be used if the
owner cannot secure the land necessary to construct the originally
approved project. Planning Area: Monta Loma/Farley/Rock Project
Planner: Rebecca Shapiro"
"100 Moffett Blvd, Mountain View, CA 94043",2014-10,"In December 2013, the City Council approved a request by Prometheus
Real Estate Group for a 184-unit apartment project. The project
includes three residential buildings that r eplac e existing
commercial and office buildings on an approximately 2.68 acre site.
The project includes the conversion of an existing vehicle on-ramp to
a bicycle/pedestrian-only paseo connecting Stierlin Road to the corner
of Central Expressway and Moffett Boulevard. Status/Next Step(s):
Approved. In July 2014, the Zoning Administrator approved a reduced
development alternative. The reduced development alternative includes
the design of a smaller “Building A”, and will only be used if the
owner cannot secure the land necessary to construct the originally
approved project. Demolition of existing buildings and site
improvements is complete. Excavation and shoring is expected to begin
in October 2014, and construction is expected to be completed by early
2016. Planning Area: Monta Loma/Farley/Rock Project Planner: Rebecca
Shapiro"
"100 Moffett Blvd, Mountain View, CA 94043",2014-11,"In December 2013, the City Council approved a request by Prometheus
Real Estate Group for a 184-unit apartment project. The project
include s three residential buildings that r eplac e existing
commercial and office buildings on an approximately 2.68 acre site.
The project includes the conversion of an existing vehicle on-ramp to
a bicycle/pedestrian-only paseo connecting Stierlin Road to the c
orner of Central Expressway and Moffett Boulevard. Status/Next
Step(s): Approved. In July 2014, the Zoning Administrator approved a
reduced development alternative. The reduced development alternative
includes the design of a smaller “Building A”, and w ill only be used
if the owner cannot secure the land necessary to construct the
originally approved project. Demolition of existing buildings and site
improvements is complete. Construction is underway and expected to be
completed by early 2016. Plann ing Area: Monta Loma/Farley/Rock
Project Planner: Rebecca Shapiro"
"100 Moffett Blvd, Mountain View, CA 94043",2014-12,"In December 2013, the City Council approved a request by Prometheus
Real Estate Group for a 184-unit apartment project. The project
includes three residential buildings that r eplac e existing
commercial and office buildings on an approximately 2.68 acre site.
The project includes the conversion of an existing vehicle on-ramp to
a bicycle/pedestrian-only paseo connecting Stierlin Road to the corner
of Central Expressway and Moffett Boulevard. Status/Next Step(s):
Approved. In July 2014, the Zoning Administrator approved a reduced
development alternative. The reduced development alternative includes
the design of a smaller “Building A”, and will only be used if the
owner cannot secure the land necessary to construct the originally
approved project. Construction is underway and expected to be
completed by early 2016. Planning Area: Monta Loma/Farley/Rock Project
Planner: Rebecca Shapiro"
